,t,vb,vg,qe,dcr,dt,ap,bif
170,-50.0,73.58241060907564,500.0,0.1,80.18621042946327,5.780000000000924e-06,0.41924919538969585,0.023034280468516837
171,-50.0,73.47838477169671,600.0,0.1,98.66571419544263,5.7400000000009174e-06,0.4927551866575602,0.01994749490196133
172,-50.0,73.07878844456572,700.0,0.1,64.86250266167859,5.945000000000951e-06,0.3818839670278963,0.023466629317591258
173,-50.0,72.70080308625704,800.0,0.1,56.87006388235998,5.700000000000911e-06,0.46730939579469605,0.017067153564787437
174,-50.0,72.52593592894061,900.0,0.1,58.375418237502586,5.810000000000928e-06,0.39337396686278747,0.012709509279857773
175,-50.0,72.14213922140533,1000.0,0.1,33.569834127998305,5.730000000000915e-06,0.3625478137715882,0.014839104640385535
176,-45.0,75.28876012678965,0.0,0.1,256.14896163932565,6.330000000001013e-06,0.43880214881713764,0.043810018591413286
177,-45.0,75.04290726948659,100.0,0.1,188.07841320327353,5.985000000000957e-06,0.2929763766252067,0.01611277855398606
178,-45.0,75.0286227333854,200.0,0.1,259.3662335543602,6.100000000000975e-06,0.20668816169961624,0.02125093040506796
179,-45.0,74.48962469490235,300.0,0.1,175.5325570965158,6.055000000000968e-06,0.07525825935516856,0.01643690057387848
180,-45.0,74.15881600501986,400.0,0.1,138.42256589959945,6.220000000000994e-06,0.12344428044701844,0.01761356922780442
181,-45.0,73.92679418707823,500.0,0.1,163.83120918793173,5.930000000000946e-06,0.13780139466170668,0.017776704801973603
182,-45.0,73.58198278093077,600.0,0.1,151.8985589984089,5.995000000000958e-06,0.03837909955285597,0.013226668003391708
183,-45.0,73.30981649830825,700.0,0.1,136.40795827584734,5.960000000000953e-06,0.05566696808104325,0.009343606258201022
184,-45.0,73.07661058822049,800.0,0.1,126.78644872951647,6.170000000000985e-06,0.02852017432855728,0.010899917541408698
185,-45.0,72.87332563711864,900.0,0.1,132.52492284426262,6.175000000000987e-06,0.11239610832497086,0.01381993097530394
186,-45.0,72.63612484363661,1000.0,0.1,105.96162919678112,6.535000000001045e-06,0.014035896020294276,0.012286105530699826
187,-40.0,75.75536380949048,0.0,0.1,333.4733239178397,6.335000000001012e-06,0.19320814602666248,0.029342810729515844
188,-40.0,75.62274725759926,100.0,0.1,311.1797961315691,6.4350000000010285e-06,0.5258782218157285,0.020010813795546426
189,-40.0,75.2484848659719,200.0,0.1,253.36129881489447,6.200000000000992e-06,0.051319293772643375,0.017499818260355432
190,-40.0,75.00528160956088,300.0,0.1,298.9959629933678,6.470000000001034e-06,0.1629748625781774,0.010378941247145546
191,-40.0,74.69831824536324,400.0,0.1,221.8640472858171,6.225000000000995e-06,0.10374375390651921,0.013137891435822176
192,-40.0,74.4015447566277,500.0,0.1,222.4523799678546,6.470000000001034e-06,0.06138846918465518,0.008672687926729938
193,-40.0,74.14991969365006,600.0,0.1,213.95045243949784,3.855000000000616e-06,0.11911376023414047,0.01643268904405557
194,-40.0,73.88302354111904,700.0,0.1,219.91654877044044,6.335000000001012e-06,0.15561663680092044,0.011014292263597032
195,-40.0,73.81551825638508,800.0,0.1,281.1624355404147,5.910000000000944e-06,0.2255306753577329,0.014382250218572246
196,-40.0,73.50924915431237,900.0,0.1,227.32121159473584,6.130000000000979e-06,0.14403394943111142,0.010831922825192799
197,-40.0,73.22527195455676,1000.0,0.1,176.27528031171212,3.915000000000626e-06,0.04337564280858723,0.00974566613084629
198,-50.0,74.80487837121761,0.0,0.11,198.4635642449718,6.1350000000009806e-06,0.8270130315529751,0.04553108488154756
199,-50.0,74.86305255186764,100.0,0.11,186.7054569812017,6.065000000000969e-06,0.9225553322411288,0.03678659754859633
200,-50.0,74.72606880882417,200.0,0.11,198.8718972445466,6.220000000000994e-06,1.055820792364547,0.031526922407943234
201,-50.0,74.18553156915702,300.0,0.11,78.11124439435989,5.985000000000957e-06,0.3024216585990741,0.021998214775446417
202,-50.0,73.98589632350559,400.0,0.11,116.93450101038427,5.920000000000946e-06,0.6603531556813692,0.027046244460921066
203,-50.0,73.67469139752454,500.0,0.11,103.23269581471402,5.780000000000924e-06,0.6036837935284793,0.024746377492066027
204,-50.0,73.53453320840244,600.0,0.11,108.721339355712,5.7400000000009174e-06,0.6247769889692811,0.021262124690311177
205,-50.0,73.13538827495483,700.0,0.11,77.29760532413239,5.945000000000951e-06,0.4734258065475337,0.02452520529199749
206,-50.0,72.79481589373847,800.0,0.11,65.23315534190547,5.700000000000911e-06,0.609893891827997,0.018747955934343002
207,-50.0,72.58838723578464,900.0,0.11,68.43837295358021,5.810000000000928e-06,0.4818051861931338,0.013628410762704886
208,-50.0,72.27823314354586,1000.0,0.11,36.92681754079814,5.730000000000915e-06,0.398802595148747,0.016904987627159924
209,-45.0,75.32189949405762,0.0,0.11,283.87408342626213,6.330000000001013e-06,0.5761263053954127,0.04484965349491051
210,-45.0,75.10171369979355,100.0,0.11,210.1357480806342,5.985000000000957e-06,0.42311551471684977,0.017742702514996034
211,-45.0,75.07475346525389,200.0,0.11,272.89221975036725,6.100000000000975e-06,0.2837438220647894,0.02241096665261106
212,-45.0,74.55236664112473,300.0,0.11,193.9127697435935,6.055000000000968e-06,0.09651600980522765,0.017542393050628217
213,-45.0,74.22322716855918,400.0,0.11,167.7987566640528,6.220000000000994e-06,0.16496928326071975,0.018574636818302896
214,-45.0,73.98637311071235,500.0,0.11,178.7557892565997,5.930000000000946e-06,0.18225002210388205,0.018591870450831376
